Source: ACS 1-Year Estimates 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Sacramento County (Central)..."
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","0"
"PRD-Machinists","169"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","0"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","0"
"PRD-Tool And Die Makers","0"
"PRD-Welding, Soldering, And Brazing Workers","76"
"PRD-Other Metal Workers And Plastic Workers","46"
"PRD-Prepress Technicians And Workers","0"
"PRD-Printing Press Operators","0"
"PRD-Print Binding And Finishing Workers","0"
"PRD-Laundry And Dry-Cleaning Workers","0"
"PRD-Pressers, Textile, Garment, And Related Materials","0"
"PRD-Sewing Machine Operators","0"
"PRD-Shoe And Leather Workers","0"
"PRD-Tailors, Dressmakers, And Sewers","0"
"PRD-Textile Machine Setters, Operators, And Tenders","0"
"PRD-Upholsterers","0"
"PRD-Other Textile, Apparel, And Furnishings Workers","0"
"PRD-Cabinetmakers And Bench Carpenters","232"
"PRD-Furniture Finishers","0"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","0"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","0"
"PRD-Other Woodworkers","0"
"PRD-Power Plant Operators, Distributors, And Dispatchers","0"
"PRD-Stationary Engineers And Boiler Operators","0"
"PRD-Water And Wastewater Treatment Plant And System Operators","0"
"PRD-Miscellaneous Plant And System Operators","0"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","0"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","0"
"PRD-Cutting Workers","0"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","0"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","0"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","143"
"PRD-Jewelers And Precious Stone And Metal Workers","0"
"PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","0"
"PRD-Packaging And Filling Machine Operators And Tenders","0"
"PRD-Painting Workers","0"
"PRD-Photographic Process Workers And Processing Machine Operators","103"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","0"
"PRD-Adhesive Bonding Machine Operators And Tenders","0"
"PRD-Etchers And Engravers","57"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","0"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","0"
"PRD-Tire Builders","0"
"PRD-Helpers--Production Workers","45"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","179"
"TRN-Supervisors Of Transportation And Material Moving Workers","0"
"TRN-Aircraft Pilots And Flight Engineers","0"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","177"
"TRN-Flight Attendants","63"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","0"
"TRN-Driver/Sales Workers And Truck Drivers","1501"
"TRN-Bus Drivers, School","363"
"TRN-Bus Drivers, Transit And Intercity","0"
"TRN-Shuttle Drivers and Chauffeurs","0"
"TRN-Taxi Drivers","422"
"TRN-Motor Vehicle Operators, All Other","0"
"TRN-Locomotive Engineers And Operators","0"
"TRN-Railroad Conductors And Yardmasters","0"
"TRN-Other Rail Transportation Workers","0"
"TRN-Ship And Boat Captains And Operators","0"
"TRN-Sailors And Marine Oilers, And Ship Engineers","0"
"TRN-Parking Attendants","0"
"TRN-Transportation Service Attendants","0"
"TRN-Transportation Inspectors","0"
"TRN-Passenger Attendants","0"
"TRN-Other Transportation Workers","0"
"TRN-Crane And Tower Operators","0"
"TRN-Industrial Truck And Tractor Operators","0"
"TRN-Cleaners Of Vehicles And Equipment","363"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","307"
"TRN-Machine Feeders And Offbearers","0"
"TRN-Packers And Packagers, Hand","55"
"TRN-Stockers And Order Fillers","905"
"TRN-Pumping Station Operators","0"
"TRN-Refuse And Recyclable Material Collectors","0"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","0"
"TRN-Other Material Moving Workers","47"
"MIL-Military Officer Special And Tactical Operations Leaders","0"
"MIL-First-Line Enlisted Military Supervisors","0"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","0"
"MIL-Military, Rank Not Specified","51"
"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","704"
